Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
27,0.22,-0.696,0.12,-0.634,0.6,-0.757,0.2,-0.761,0.209,-0.676,0.14,-0.644,0.15,-0.622,0.1844,-0.607
26,0.22,-0.684,0.12,-0.596,0.6,-0.743,0.2,-0.747,0.209,-0.684,0.14,-0.645,0.15,-0.639,0.1844,-0.607
23,0.22,-0.687,0.12,-0.652,0.6,-0.765,0.2,-0.76,0.209,-0.682,0.14,-0.646,0.15,-0.629,0.1844,-0.615
37,0.22,-0.7,0.12,-0.581,0.6,-0.745,0.2,-0.716,0.209,-0.664,0.14,-0.624,0.15,-0.655,0.1844,-0.557
17,0.22,-0.673,0.12,-0.626,0.6,-0.772,0.2,-0.751,0.209,-0.697,0.14,-0.656,0.15,-0.619,0.1844,-0.607
8,0.22,-0.664,0.12,-0.631,0.6,-0.783,0.2,-0.762,0.209,-0.714,0.14,-0.679,0.15,-0.605,0.1844,-0.625
26,0.22,-0.684,0.12,-0.597,0.6,-0.74,0.2,-0.748,0.209,-0.682,0.14,-0.649,0.15,-0.636,0.1844,-0.609
3,0.22,-0.66,0.12,-0.646,0.6,-0.785,0.2,-0.777,0.209,-0.689,0.14,-0.692,0.15,-0.587,0.1844,-0.626
33,0.22,-0.695,0.12,-0.56,0.6,-0.766,0.2,-0.713,0.209,-0.678,0.14,-0.636,0.15,-0.644,0.1844,-0.572
1,0.22,-0.659,0.12,-0.619,0.6,-0.769,0.2,-0.803,0.209,-0.688,0.14,-0.655,0.15,-0.586,0.1844,-0.632
15,0.22,-0.674,0.12,-0.624,0.6,-0.774,0.2,-0.763,0.209,-0.701,0.14,-0.686,0.15,-0.607,0.1844,-0.622
5,0.22,-0.644,0.12,-0.664,0.6,-0.78,0.2,-0.774,0.209,-0.708,0.14,-0.668,0.15,-0.587,0.1844,-0.631
13,0.22,-0.67,0.12,-0.624,0.6,-0.765,0.2,-0.749,0.209,-0.725,0.14,-0.674,0.15,-0.599,0.1844,-0.618
5,0.22,-0.643,0.12,-0.66,0.6,-0.778,0.2,-0.773,0.209,-0.702,0.14,-0.66,0.15,-0.587,0.1844,-0.623
32,0.22,-0.697,0.12,-0.56,0.6,-0.765,0.2,-0.717,0.209,-0.681,0.14,-0.634,0.15,-0.641,0.1844,-0.574
11,0.22,-0.665,0.12,-0.646,0.6,-0.775,0.2,-0.756,0.209,-0.713,0.14,-0.678,0.15,-0.607,0.1844,-0.617
6,0.22,-0.65,0.12,-0.656,0.6,-0.787,0.2,-0.769,0.209,-0.701,0.14,-0.664,0.15,-0.587,0.1844,-0.621
3,0.22,-0.651,0.12,-0.651,0.6,-0.781,0.2,-0.775,0.209,-0.69,0.14,-0.68,0.15,-0.58,0.1844,-0.625
16,0.22,-0.668,0.12,-0.621,0.6,-0.773,0.2,-0.757,0.209,-0.693,0.14,-0.68,0.15,-0.616,0.1844,-0.618
39,0.22,-0.698,0.12,-0.596,0.6,-0.748,0.2,-0.716,0.209,-0.656,0.14,-0.632,0.15,-0.65,0.1844,-0.57
36,0.22,-0.701,0.12,-0.599,0.6,-0.75,0.2,-0.729,0.209,-0.663,0.14,-0.634,0.15,-0.649,0.1844,-0.556
24,0.22,-0.676,0.12,-0.646,0.6,-0.749,0.2,-0.768,0.209,-0.692,0.14,-0.639,0.15,-0.631,0.1844,-0.606
9,0.22,-0.656,0.12,-0.621,0.6,-0.779,0.2,-0.763,0.209,-0.719,0.14,-0.686,0.15,-0.615,0.1844,-0.623
1,0.22,-0.664,0.12,-0.629,0.6,-0.773,0.2,-0.807,0.209,-0.687,0.14,-0.66,0.15,-0.597,0.1844,-0.634
22,0.22,-0.683,0.12,-0.664,0.6,-0.775,0.2,-0.752,0.209,-0.673,0.14,-0.649,0.15,-0.63,0.1844,-0.612
2,0.22,-0.664,0.12,-0.632,0.6,-0.773,0.2,-0.804,0.209,-0.686,0.14,-0.673,0.15,-0.596,0.1844,-0.632
36,0.22,-0.699,0.12,-0.594,0.6,-0.75,0.2,-0.728,0.209,-0.663,0.14,-0.633,0.15,-0.647,0.1844,-0.555
35,0.22,-0.695,0.12,-0.597,0.6,-0.752,0.2,-0.732,0.209,-0.668,0.14,-0.632,0.15,-0.645,0.1844,-0.559
0,0.22,-0.585,0.12,-0.555,0.6,-0.728,0.2,-0.729,0.209,-0.655,0.14,-0.589,0.15,-0.519,0.1844,-0.584
0,0.22,-0.639,0.12,-0.57,0.6,-0.768,0.2,-0.786,0.209,-0.686,0.14,-0.629,0.15,-0.565,0.1844,-0.643
3,0.22,-0.655,0.12,-0.647,0.6,-0.783,0.2,-0.777,0.209,-0.692,0.14,-0.69,0.15,-0.582,0.1844,-0.626
25,0.22,-0.686,0.12,-0.607,0.6,-0.748,0.2,-0.757,0.209,-0.689,0.14,-0.64,0.15,-0.637,0.1844,-0.6
11,0.22,-0.663,0.12,-0.646,0.6,-0.776,0.2,-0.755,0.209,-0.71,0.14,-0.679,0.15,-0.611,0.1844,-0.632
7,0.22,-0.663,0.12,-0.651,0.6,-0.794,0.2,-0.758,0.209,-0.706,0.14,-0.679,0.15,-0.597,0.1844,-0.627
7,0.22,-0.658,0.12,-0.653,0.6,-0.795,0.2,-0.759,0.209,-0.705,0.14,-0.677,0.15,-0.595,0.1844,-0.626
16,0.22,-0.668,0.12,-0.621,0.6,-0.774,0.2,-0.757,0.209,-0.693,0.14,-0.68,0.15,-0.616,0.1844,-0.618
11,0.22,-0.665,0.12,-0.648,0.6,-0.775,0.2,-0.757,0.209,-0.714,0.14,-0.678,0.15,-0.608,0.1844,-0.618
12,0.22,-0.66,0.12,-0.646,0.6,-0.77,0.2,-0.753,0.209,-0.725,0.14,-0.675,0.15,-0.602,0.1844,-0.619
35,0.22,-0.694,0.12,-0.594,0.6,-0.751,0.2,-0.731,0.209,-0.668,0.14,-0.63,0.15,-0.643,0.1844,-0.56
26,0.22,-0.684,0.12,-0.595,0.6,-0.746,0.2,-0.747,0.209,-0.688,0.14,-0.648,0.15,-0.639,0.1844,-0.606
24,0.22,-0.676,0.12,-0.645,0.6,-0.749,0.2,-0.768,0.209,-0.692,0.14,-0.64,0.15,-0.631,0.1844,-0.606
17,0.22,-0.67,0.12,-0.618,0.6,-0.772,0.2,-0.751,0.209,-0.691,0.14,-0.662,0.15,-0.618,0.1844,-0.612
27,0.22,-0.696,0.12,-0.627,0.6,-0.756,0.2,-0.76,0.209,-0.676,0.14,-0.645,0.15,-0.623,0.1844,-0.606
29,0.22,-0.695,0.12,-0.496,0.6,-0.76,0.2,-0.744,0.209,-0.684,0.14,-0.625,0.15,-0.625,0.1844,-0.6
5,0.22,-0.645,0.12,-0.663,0.6,-0.782,0.2,-0.774,0.209,-0.705,0.14,-0.665,0.15,-0.588,0.1844,-0.629
9,0.22,-0.657,0.12,-0.624,0.6,-0.779,0.2,-0.763,0.209,-0.718,0.14,-0.686,0.15,-0.615,0.1844,-0.623
12,0.22,-0.66,0.12,-0.646,0.6,-0.77,0.2,-0.753,0.209,-0.725,0.14,-0.674,0.15,-0.601,0.1844,-0.619
14,0.22,-0.674,0.12,-0.633,0.6,-0.762,0.2,-0.761,0.209,-0.709,0.14,-0.663,0.15,-0.6,0.1844,-0.614
2,0.22,-0.666,0.12,-0.641,0.6,-0.777,0.2,-0.784,0.209,-0.682,0.14,-0.692,0.15,-0.59,0.1844,-0.63
29,0.22,-0.697,0.12,-0.488,0.6,-0.759,0.2,-0.743,0.209,-0.682,0.14,-0.627,0.15,-0.625,0.1844,-0.603
18,0.22,-0.673,0.12,-0.632,0.6,-0.765,0.2,-0.755,0.209,-0.698,0.14,-0.65,0.15,-0.616,0.1844,-0.604
22,0.22,-0.686,0.12,-0.664,0.6,-0.767,0.2,-0.757,0.209,-0.679,0.14,-0.648,0.15,-0.628,0.1844,-0.614
21,0.22,-0.682,0.12,-0.657,0.6,-0.784,0.2,-0.751,0.209,-0.678,0.14,-0.657,0.15,-0.64,0.1844,-0.6
32,0.22,-0.698,0.12,-0.56,0.6,-0.765,0.2,-0.718,0.209,-0.682,0.14,-0.636,0.15,-0.64,0.1844,-0.574
8,0.22,-0.667,0.12,-0.643,0.6,-0.785,0.2,-0.76,0.209,-0.711,0.14,-0.681,0.15,-0.603,0.1844,-0.627
4,0.22,-0.646,0.12,-0.658,0.6,-0.782,0.2,-0.776,0.209,-0.703,0.14,-0.672,0.15,-0.584,0.1844,-0.63
36,0.22,-0.699,0.12,-0.592,0.6,-0.75,0.2,-0.728,0.209,-0.663,0.14,-0.633,0.15,-0.646,0.1844,-0.555
30,0.22,-0.696,0.12,-0.511,0.6,-0.761,0.2,-0.745,0.209,-0.687,0.14,-0.619,0.15,-0.634,0.1844,-0.583
39,0.22,-0.708,0.12,-0.608,0.6,-0.759,0.2,-0.716,0.209,-0.663,0.14,-0.63,0.15,-0.653,0.1844,-0.574
27,0.22,-0.695,0.12,-0.625,0.6,-0.756,0.2,-0.759,0.209,-0.676,0.14,-0.645,0.15,-0.623,0.1844,-0.606
3,0.22,-0.658,0.12,-0.648,0.6,-0.783,0.2,-0.776,0.209,-0.691,0.14,-0.691,0.15,-0.587,0.1844,-0.626
35,0.22,-0.693,0.12,-0.592,0.6,-0.748,0.2,-0.728,0.209,-0.669,0.14,-0.631,0.15,-0.641,0.1844,-0.56
6,0.22,-0.65,0.12,-0.655,0.6,-0.788,0.2,-0.768,0.209,-0.701,0.14,-0.666,0.15,-0.587,0.1844,-0.621
28,0.22,-0.701,0.12,-0.504,0.6,-0.757,0.2,-0.747,0.209,-0.68,0.14,-0.635,0.15,-0.622,0.1844,-0.607
21,0.22,-0.677,0.12,-0.661,0.6,-0.78,0.2,-0.746,0.209,-0.679,0.14,-0.657,0.15,-0.634,0.1844,-0.602
10,0.22,-0.661,0.12,-0.637,0.6,-0.779,0.2,-0.76,0.209,-0.715,0.14,-0.68,0.15,-0.616,0.1844,-0.63
19,0.22,-0.671,0.12,-0.63,0.6,-0.762,0.2,-0.75,0.209,-0.686,0.14,-0.651,0.15,-0.607,0.1844,-0.6
21,0.22,-0.685,0.12,-0.654,0.6,-0.788,0.2,-0.755,0.209,-0.678,0.14,-0.663,0.15,-0.646,0.1844,-0.601
1,0.22,-0.658,0.12,-0.619,0.6,-0.768,0.2,-0.803,0.209,-0.688,0.14,-0.658,0.15,-0.584,0.1844,-0.631
13,0.22,-0.674,0.12,-0.626,0.6,-0.763,0.2,-0.752,0.209,-0.718,0.14,-0.671,0.15,-0.602,0.1844,-0.616
34,0.22,-0.692,0.12,-0.568,0.6,-0.746,0.2,-0.72,0.209,-0.673,0.14,-0.639,0.15,-0.641,0.1844,-0.569
33,0.22,-0.694,0.12,-0.555,0.6,-0.765,0.2,-0.712,0.209,-0.676,0.14,-0.637,0.15,-0.644,0.1844,-0.571
5,0.22,-0.643,0.12,-0.662,0.6,-0.781,0.2,-0.773,0.209,-0.705,0.14,-0.663,0.15,-0.587,0.1844,-0.625
15,0.22,-0.674,0.12,-0.628,0.6,-0.773,0.2,-0.762,0.209,-0.704,0.14,-0.684,0.15,-0.607,0.1844,-0.622
1,0.22,-0.649,0.12,-0.601,0.6,-0.761,0.2,-0.79,0.209,-0.687,0.14,-0.643,0.15,-0.567,0.1844,-0.642
10,0.22,-0.661,0.12,-0.636,0.6,-0.779,0.2,-0.76,0.209,-0.715,0.14,-0.68,0.15,-0.615,0.1844,-0.629
14,0.22,-0.673,0.12,-0.634,0.6,-0.765,0.2,-0.767,0.209,-0.717,0.14,-0.666,0.15,-0.601,0.1844,-0.624
32,0.22,-0.703,0.12,-0.549,0.6,-0.764,0.2,-0.727,0.209,-0.692,0.14,-0.632,0.15,-0.635,0.1844,-0.578
16,0.22,-0.669,0.12,-0.62,0.6,-0.773,0.2,-0.757,0.209,-0.693,0.14,-0.677,0.15,-0.615,0.1844,-0.618
4,0.22,-0.647,0.12,-0.66,0.6,-0.783,0.2,-0.776,0.209,-0.706,0.14,-0.672,0.15,-0.586,0.1844,-0.632
15,0.22,-0.674,0.12,-0.624,0.6,-0.775,0.2,-0.763,0.209,-0.7,0.14,-0.688,0.15,-0.607,0.1844,-0.622
1,0.22,-0.653,0.12,-0.611,0.6,-0.766,0.2,-0.797,0.209,-0.684,0.14,-0.653,0.15,-0.574,0.1844,-0.634
18,0.22,-0.671,0.12,-0.63,0.6,-0.763,0.2,-0.753,0.209,-0.693,0.14,-0.65,0.15,-0.611,0.1844,-0.602
26,0.22,-0.686,0.12,-0.609,0.6,-0.752,0.2,-0.757,0.209,-0.691,0.14,-0.645,0.15,-0.643,0.1844,-0.6
8,0.22,-0.666,0.12,-0.641,0.6,-0.785,0.2,-0.761,0.209,-0.711,0.14,-0.682,0.15,-0.604,0.1844,-0.627
24,0.22,-0.677,0.12,-0.645,0.6,-0.751,0.2,-0.766,0.209,-0.693,0.14,-0.641,0.15,-0.63,0.1844,-0.607
24,0.22,-0.674,0.12,-0.643,0.6,-0.751,0.2,-0.754,0.209,-0.689,0.14,-0.642,0.15,-0.632,0.1844,-0.607
33,0.22,-0.693,0.12,-0.563,0.6,-0.761,0.2,-0.714,0.209,-0.675,0.14,-0.641,0.15,-0.644,0.1844,-0.569
3,0.22,-0.65,0.12,-0.653,0.6,-0.781,0.2,-0.777,0.209,-0.691,0.14,-0.678,0.15,-0.58,0.1844,-0.625
7,0.22,-0.665,0.12,-0.65,0.6,-0.793,0.2,-0.759,0.209,-0.707,0.14,-0.679,0.15,-0.597,0.1844,-0.626
16,0.22,-0.673,0.12,-0.622,0.6,-0.775,0.2,-0.762,0.209,-0.696,0.14,-0.686,0.15,-0.608,0.1844,-0.622
37,0.22,-0.699,0.12,-0.582,0.6,-0.745,0.2,-0.714,0.209,-0.662,0.14,-0.623,0.15,-0.654,0.1844,-0.557
13,0.22,-0.667,0.12,-0.625,0.6,-0.769,0.2,-0.75,0.209,-0.727,0.14,-0.676,0.15,-0.598,0.1844,-0.62
1,0.22,-0.654,0.12,-0.612,0.6,-0.767,0.2,-0.799,0.209,-0.685,0.14,-0.654,0.15,-0.576,0.1844,-0.634
20,0.22,-0.68,0.12,-0.644,0.6,-0.781,0.2,-0.746,0.209,-0.683,0.14,-0.663,0.15,-0.629,0.1844,-0.608
34,0.22,-0.69,0.12,-0.563,0.6,-0.747,0.2,-0.719,0.209,-0.672,0.14,-0.641,0.15,-0.64,0.1844,-0.566
27,0.22,-0.693,0.12,-0.616,0.6,-0.751,0.2,-0.758,0.209,-0.676,0.14,-0.645,0.15,-0.624,0.1844,-0.606
38,0.22,-0.701,0.12,-0.584,0.6,-0.744,0.2,-0.711,0.209,-0.663,0.14,-0.622,0.15,-0.654,0.1844,-0.557
19,0.22,-0.67,0.12,-0.63,0.6,-0.763,0.2,-0.752,0.209,-0.688,0.14,-0.651,0.15,-0.607,0.1844,-0.599
22,0.22,-0.682,0.12,-0.663,0.6,-0.776,0.2,-0.747,0.209,-0.669,0.14,-0.655,0.15,-0.63,0.1844,-0.607
14,0.22,-0.68,0.12,-0.631,0.6,-0.762,0.2,-0.754,0.209,-0.704,0.14,-0.667,0.15,-0.603,0.1844,-0.61
21,0.22,-0.686,0.12,-0.652,0.6,-0.79,0.2,-0.758,0.209,-0.68,0.14,-0.663,0.15,-0.649,0.1844,-0.6
5,0.22,-0.644,0.12,-0.664,0.6,-0.78,0.2,-0.773,0.209,-0.706,0.14,-0.666,0.15,-0.586,0.1844,-0.631
23,0.22,-0.685,0.12,-0.645,0.6,-0.764,0.2,-0.759,0.209,-0.682,0.14,-0.645,0.15,-0.629,0.1844,-0.614
3,0.22,-0.65,0.12,-0.652,0.6,-0.781,0.2,-0.776,0.209,-0.691,0.14,-0.679,0.15,-0.58,0.1844,-0.625
12,0.22,-0.663,0.12,-0.647,0.6,-0.772,0.2,-0.755,0.209,-0.719,0.14,-0.677,0.15,-0.605,0.1844,-0.619
13,0.22,-0.672,0.12,-0.625,0.6,-0.763,0.2,-0.751,0.209,-0.719,0.14,-0.67,0.15,-0.601,0.1844,-0.616
29,0.22,-0.696,0.12,-0.518,0.6,-0.761,0.2,-0.745,0.209,-0.686,0.14,-0.619,0.15,-0.631,0.1844,-0.588
10,0.22,-0.66,0.12,-0.634,0.6,-0.779,0.2,-0.76,0.209,-0.716,0.14,-0.68,0.15,-0.615,0.1844,-0.627
5,0.22,-0.647,0.12,-0.66,0.6,-0.782,0.2,-0.775,0.209,-0.702,0.14,-0.658,0.15,-0.585,0.1844,-0.621
2,0.22,-0.665,0.12,-0.638,0.6,-0.775,0.2,-0.786,0.209,-0.68,0.14,-0.687,0.15,-0.591,0.1844,-0.626
15,0.22,-0.673,0.12,-0.631,0.6,-0.769,0.2,-0.762,0.209,-0.71,0.14,-0.673,0.15,-0.603,0.1844,-0.622
18,0.22,-0.672,0.12,-0.63,0.6,-0.763,0.2,-0.753,0.209,-0.692,0.14,-0.65,0.15,-0.608,0.1844,-0.603
8,0.22,-0.667,0.12,-0.644,0.6,-0.785,0.2,-0.76,0.209,-0.71,0.14,-0.68,0.15,-0.602,0.1844,-0.627
10,0.22,-0.662,0.12,-0.639,0.6,-0.778,0.2,-0.759,0.209,-0.714,0.14,-0.68,0.15,-0.616,0.1844,-0.63
31,0.22,-0.707,0.12,-0.54,0.6,-0.765,0.2,-0.727,0.209,-0.688,0.14,-0.63,0.15,-0.639,0.1844,-0.578
14,0.22,-0.675,0.12,-0.633,0.6,-0.764,0.2,-0.764,0.209,-0.713,0.14,-0.665,0.15,-0.601,0.1844,-0.617
25,0.22,-0.687,0.12,-0.605,0.6,-0.748,0.2,-0.758,0.209,-0.688,0.14,-0.639,0.15,-0.636,0.1844,-0.6
10,0.22,-0.664,0.12,-0.638,0.6,-0.778,0.2,-0.757,0.209,-0.714,0.14,-0.678,0.15,-0.614,0.1844,-0.633
22,0.22,-0.687,0.12,-0.664,0.6,-0.766,0.2,-0.761,0.209,-0.68,0.14,-0.648,0.15,-0.629,0.1844,-0.615
28,0.22,-0.697,0.12,-0.606,0.6,-0.758,0.2,-0.76,0.209,-0.676,0.14,-0.639,0.15,-0.621,0.1844,-0.607
27,0.22,-0.691,0.12,-0.612,0.6,-0.746,0.2,-0.755,0.209,-0.676,0.14,-0.646,0.15,-0.626,0.1844,-0.607
7,0.22,-0.664,0.12,-0.651,0.6,-0.794,0.2,-0.758,0.209,-0.706,0.14,-0.679,0.15,-0.597,0.1844,-0.627
39,0.22,-0.707,0.12,-0.608,0.6,-0.76,0.2,-0.715,0.209,-0.664,0.14,-0.629,0.15,-0.653,0.1844,-0.574
24,0.22,-0.677,0.12,-0.646,0.6,-0.749,0.2,-0.767,0.209,-0.692,0.14,-0.64,0.15,-0.631,0.1844,-0.606
34,0.22,-0.694,0.12,-0.571,0.6,-0.746,0.2,-0.723,0.209,-0.674,0.14,-0.639,0.15,-0.641,0.1844,-0.57
9,0.22,-0.66,0.12,-0.619,0.6,-0.783,0.2,-0.766,0.209,-0.723,0.14,-0.69,0.15,-0.616,0.1844,-0.624
24,0.22,-0.675,0.12,-0.644,0.6,-0.751,0.2,-0.762,0.209,-0.691,0.14,-0.641,0.15,-0.629,0.1844,-0.607
0,0.22,-0.594,0.12,-0.564,0.6,-0.737,0.2,-0.735,0.209,-0.661,0.14,-0.595,0.15,-0.525,0.1844,-0.595
0,0.22,-0.633,0.12,-0.567,0.6,-0.763,0.2,-0.78,0.209,-0.684,0.14,-0.627,0.15,-0.562,0.1844,-0.643
22,0.22,-0.68,0.12,-0.664,0.6,-0.779,0.2,-0.744,0.209,-0.67,0.14,-0.657,0.15,-0.629,0.1844,-0.605
0,0.22,-0.463,0.12,-0.429,0.6,-0.606,0.2,-0.578,0.209,-0.527,0.14,-0.477,0.15,-0.397,0.1844,-0.465
13,0.22,-0.663,0.12,-0.651,0.6,-0.773,0.2,-0.753,0.209,-0.734,0.14,-0.68,0.15,-0.598,0.1844,-0.626
6,0.22,-0.651,0.12,-0.656,0.6,-0.791,0.2,-0.767,0.209,-0.702,0.14,-0.669,0.15,-0.591,0.1844,-0.622
26,0.22,-0.685,0.12,-0.591,0.6,-0.75,0.2,-0.751,0.209,-0.69,0.14,-0.646,0.15,-0.642,0.1844,-0.601
21,0.22,-0.679,0.12,-0.662,0.6,-0.78,0.2,-0.744,0.209,-0.677,0.14,-0.658,0.15,-0.631,0.1844,-0.604
25,0.22,-0.687,0.12,-0.61,0.6,-0.751,0.2,-0.756,0.209,-0.691,0.14,-0.643,0.15,-0.64,0.1844,-0.601
20,0.22,-0.684,0.12,-0.65,0.6,-0.784,0.2,-0.749,0.209,-0.683,0.14,-0.664,0.15,-0.636,0.1844,-0.604
20,0.22,-0.688,0.12,-0.658,0.6,-0.791,0.2,-0.758,0.209,-0.68,0.14,-0.663,0.15,-0.651,0.1844,-0.6
11,0.22,-0.664,0.12,-0.647,0.6,-0.775,0.2,-0.753,0.209,-0.711,0.14,-0.679,0.15,-0.611,0.1844,-0.627
35,0.22,-0.694,0.12,-0.591,0.6,-0.748,0.2,-0.73,0.209,-0.669,0.14,-0.631,0.15,-0.642,0.1844,-0.56
38,0.22,-0.696,0.12,-0.594,0.6,-0.744,0.2,-0.717,0.209,-0.657,0.14,-0.63,0.15,-0.65,0.1844,-0.566
22,0.22,-0.686,0.12,-0.665,0.6,-0.768,0.2,-0.758,0.209,-0.68,0.14,-0.649,0.15,-0.628,0.1844,-0.616
13,0.22,-0.664,0.12,-0.638,0.6,-0.771,0.2,-0.752,0.209,-0.732,0.14,-0.679,0.15,-0.598,0.1844,-0.624
37,0.22,-0.702,0.12,-0.579,0.6,-0.747,0.2,-0.719,0.209,-0.663,0.14,-0.629,0.15,-0.652,0.1844,-0.557
8,0.22,-0.664,0.12,-0.632,0.6,-0.783,0.2,-0.762,0.209,-0.713,0.14,-0.678,0.15,-0.605,0.1844,-0.625
7,0.22,-0.662,0.12,-0.651,0.6,-0.794,0.2,-0.758,0.209,-0.706,0.14,-0.678,0.15,-0.596,0.1844,-0.627
14,0.22,-0.674,0.12,-0.634,0.6,-0.764,0.2,-0.767,0.209,-0.717,0.14,-0.666,0.15,-0.601,0.1844,-0.621
24,0.22,-0.673,0.12,-0.643,0.6,-0.751,0.2,-0.76,0.209,-0.689,0.14,-0.641,0.15,-0.63,0.1844,-0.607
10,0.22,-0.659,0.12,-0.632,0.6,-0.78,0.2,-0.76,0.209,-0.715,0.14,-0.68,0.15,-0.614,0.1844,-0.627
27,0.22,-0.691,0.12,-0.612,0.6,-0.745,0.2,-0.754,0.209,-0.676,0.14,-0.646,0.15,-0.626,0.1844,-0.607
6,0.22,-0.65,0.12,-0.656,0.6,-0.795,0.2,-0.764,0.209,-0.704,0.14,-0.674,0.15,-0.593,0.1844,-0.623
26,0.22,-0.683,0.12,-0.595,0.6,-0.749,0.2,-0.747,0.209,-0.691,0.14,-0.65,0.15,-0.641,0.1844,-0.605
37,0.22,-0.701,0.12,-0.58,0.6,-0.747,0.2,-0.718,0.209,-0.663,0.14,-0.629,0.15,-0.653,0.1844,-0.557
28,0.22,-0.698,0.12,-0.554,0.6,-0.758,0.2,-0.754,0.209,-0.678,0.14,-0.637,0.15,-0.623,0.1844,-0.606
20,0.22,-0.687,0.12,-0.657,0.6,-0.788,0.2,-0.756,0.209,-0.68,0.14,-0.663,0.15,-0.649,0.1844,-0.601
35,0.22,-0.692,0.12,-0.587,0.6,-0.745,0.2,-0.726,0.209,-0.67,0.14,-0.634,0.15,-0.642,0.1844,-0.564
11,0.22,-0.663,0.12,-0.646,0.6,-0.775,0.2,-0.754,0.209,-0.711,0.14,-0.68,0.15,-0.61,0.1844,-0.627
27,0.22,-0.687,0.12,-0.605,0.6,-0.741,0.2,-0.748,0.209,-0.678,0.14,-0.647,0.15,-0.627,0.1844,-0.606
38,0.22,-0.697,0.12,-0.589,0.6,-0.745,0.2,-0.714,0.209,-0.657,0.14,-0.626,0.15,-0.649,0.1844,-0.563
5,0.22,-0.645,0.12,-0.66,0.6,-0.779,0.2,-0.775,0.209,-0.702,0.14,-0.658,0.15,-0.586,0.1844,-0.623
29,0.22,-0.695,0.12,-0.503,0.6,-0.761,0.2,-0.743,0.209,-0.686,0.14,-0.623,0.15,-0.627,0.1844,-0.598
31,0.22,-0.71,0.12,-0.546,0.6,-0.764,0.2,-0.727,0.209,-0.69,0.14,-0.632,0.15,-0.636,0.1844,-0.579
9,0.22,-0.66,0.12,-0.619,0.6,-0.784,0.2,-0.767,0.209,-0.723,0.14,-0.691,0.15,-0.616,0.1844,-0.625
4,0.22,-0.649,0.12,-0.654,0.6,-0.783,0.2,-0.78,0.209,-0.693,0.14,-0.676,0.15,-0.58,0.1844,-0.625
